,TrashFile,Image,Category
0,garbage_classification/paper/paper822.jpg,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [182 178 175]
  [182 178 175]
  [182 178 175]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [183 179 176]
  [182 178 175]
  [182 178 175]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [183 179 176]
  [183 179 176]
  [182 178 175]]

 ...

 [[209 207 192]
  [142 140 125]
  [149 147 132]
  ...
  [147 146 142]
  [146 145 141]
  [145 144 140]]

 [[179 177 162]
  [140 138 123]
  [152 150 135]
  ...
  [147 146 142]
  [146 145 141]
  [145 144 140]]

 [[197 195 182]
  [140 138 125]
  [109 107  92]
  ...
  [147 146 142]
  [145 144 140]
  [144 143 139]]]",paper
1,garbage_classification/paper/paper853.jpg,"[[[219 204 197]
  [219 204 197]
  [219 204 197]
  ...
  [184 166 152]
  [184 166 152]
  [184 166 152]]

 [[219 204 197]
  [219 204 197]
  [219 204 197]
  ...
  [184 166 152]
  [184 166 152]
  [184 166 152]]

 [[219 204 197]
  [219 204 197]
  [219 204 197]
  ...
  [184 166 152]
  [184 166 152]
  [184 166 152]]

 ...

 [[224 208 193]
  [224 208 193]
  [224 208 193]
  ...
  [180 167 158]
  [180 167 158]
  [180 167 158]]

 [[224 208 193]
  [224 208 193]
  [224 208 193]
  ...
  [180 167 158]
  [180 167 158]
  [180 167 158]]

 [[224 208 193]
  [224 208 193]
  [224 208 193]
  ...
  [180 167 158]
  [180 167 158]
  [180 167 158]]]",paper
2,garbage_classification/paper/paper485.jpg,"[[[243 218 222]
  [243 218 222]
  [244 217 222]
  ...
  [249 218 224]
  [249 218 224]
  [249 218 224]]

 [[243 218 222]
  [243 218 222]
  [245 218 223]
  ...
  [249 218 224]
  [249 218 224]
  [249 218 224]]

 [[243 218 222]
  [245 218 223]
  [245 218 223]
  ...
  [249 218 224]
  [249 218 224]
  [249 218 224]]

 ...

 [[229 229 227]
  [229 229 227]
  [229 229 227]
  ...
  [249 218 224]
  [249 218 224]
  [249 218 224]]

 [[226 226 224]
  [226 226 224]
  [227 227 225]
  ...
  [249 218 224]
  [249 218 224]
  [249 218 224]]

 [[230 230 222]
  [230 230 222]
  [230 230 222]
  ...
  [247 218 223]
  [247 218 223]
  [247 218 223]]]",paper
3,garbage_classification/paper/paper293.jpg,"[[[ 93 107  90]
  [ 78  92  75]
  [ 70  83  66]
  ...
  [193 179 170]
  [193 179 170]
  [193 179 170]]

 [[ 75  77  63]
  [ 66  68  54]
  [ 65  66  52]
  ...
  [191 177 168]
  [191 177 168]
  [191 177 168]]

 [[ 68  59  44]
  [ 65  56  41]
  [ 68  59  44]
  ...
  [191 177 168]
  [191 177 168]
  [191 177 168]]

 ...

 [[152 134 120]
  [162 144 130]
  [169 151 137]
  ...
  [204 194 193]
  [209 199 198]
  [197 187 186]]

 [[153 135 121]
  [162 144 130]
  [169 151 137]
  ...
  [224 207 199]
  [212 195 187]
  [205 188 180]]

 [[153 135 121]
  [162 144 130]
  [169 151 137]
  ...
  [224 207 199]
  [211 194 186]
  [205 188 180]]]",paper
4,garbage_classification/paper/paper500.jpg,"[[[230 229 224]
  [231 230 225]
  [231 230 225]
  ...
  [210 205 199]
  [210 205 199]
  [210 205 199]]

 [[230 229 224]
  [231 230 225]
  [231 230 225]
  ...
  [210 205 199]
  [210 205 199]
  [210 205 199]]

 [[230 229 224]
  [230 229 224]
  [231 230 225]
  ...
  [210 205 199]
  [210 205 199]
  [210 205 199]]

 ...

 [[195 187 176]
  [195 187 176]
  [196 188 177]
  ...
  [165 161 149]
  [165 161 149]
  [165 161 149]]

 [[195 187 176]
  [195 187 176]
  [196 188 177]
  ...
  [165 161 149]
  [165 161 149]
  [165 161 149]]

 [[195 187 176]
  [195 187 176]
  [196 188 177]
  ...
  [165 161 149]
  [165 161 149]
  [165 161 149]]]",paper
5,garbage_classification/paper/paper509.jpg,"[[[216 214 202]
  [217 215 203]
  [217 215 203]
  ...
  [129 123  99]
  [129 123  99]
  [130 124 100]]

 [[216 214 202]
  [217 215 203]
  [217 215 203]
  ...
  [129 123  99]
  [129 123  99]
  [130 124 100]]

 [[216 214 202]
  [217 215 203]
  [217 215 203]
  ...
  [129 123  99]
  [129 123  99]
  [129 123  99]]

 ...

 [[218 215 198]
  [218 215 198]
  [217 214 197]
  ...
  [172 165 146]
  [172 165 146]
  [171 164 145]]

 [[218 215 198]
  [218 215 198]
  [218 215 198]
  ...
  [173 166 147]
  [173 166 147]
  [172 165 146]]

 [[218 215 198]
  [218 215 198]
  [218 215 198]
  ...
  [174 167 148]
  [173 166 147]
  [173 166 147]]]",paper
6,garbage_classification/paper/paper446.jpg,"[[[225 225 225]
  [225 225 225]
  [225 225 225]
  ...
  [225 225 225]
  [225 225 225]
  [225 225 225]]

 [[225 225 225]
  [225 225 225]
  [225 225 225]
  ...
  [225 225 225]
  [225 225 225]
  [225 225 225]]

 [[225 225 225]
  [225 225 225]
  [225 225 225]
  ...
  [225 225 225]
  [225 225 225]
  [225 225 225]]

 ...

 [[232 232 232]
  [230 230 230]
  [225 225 225]
  ...
  [225 225 225]
  [225 225 225]
  [225 225 225]]

 [[225 225 225]
  [225 225 225]
  [225 225 225]
  ...
  [225 225 225]
  [225 225 225]
  [225 225 225]]

 [[225 225 225]
  [225 225 225]
  [225 225 225]
  ...
  [225 225 225]
  [225 225 225]
  [225 225 225]]]",paper
7,garbage_classification/paper/paper527.jpg,"[[[221 218 211]
  [221 218 211]
  [221 218 211]
  ...
  [211 208 203]
  [210 207 202]
  [209 206 201]]

 [[221 218 211]
  [221 218 211]
  [221 218 211]
  ...
  [211 208 203]
  [210 207 202]
  [209 206 201]]

 [[221 218 211]
  [221 218 211]
  [221 218 211]
  ...
  [211 208 203]
  [210 207 202]
  [209 206 201]]

 ...

 [[203 199 187]
  [203 199 187]
  [204 200 188]
  ...
  [174 166 155]
  [174 166 155]
  [174 166 155]]

 [[202 198 186]
  [202 198 186]
  [203 199 187]
  ...
  [174 166 155]
  [174 166 155]
  [174 166 155]]

 [[201 197 185]
  [202 198 186]
  [202 198 186]
  ...
  [174 166 155]
  [174 166 155]
  [174 166 155]]]",paper
8,garbage_classification/paper/paper991.jpg,"[[[223 224 228]
  [223 224 228]
  [223 224 228]
  ...
  [179 179 181]
  [179 179 181]
  [179 179 181]]

 [[223 224 228]
  [223 224 228]
  [223 224 228]
  ...
  [179 179 181]
  [179 179 181]
  [179 179 181]]

 [[223 224 228]
  [223 224 228]
  [223 224 228]
  ...
  [179 179 181]
  [179 179 181]
  [179 179 181]]

 ...

 [[202 202 202]
  [203 203 203]
  [203 203 203]
  ...
  [137 137 137]
  [137 137 137]
  [137 137 137]]

 [[202 202 202]
  [203 203 203]
  [203 203 203]
  ...
  [137 137 137]
  [137 137 137]
  [137 137 137]]

 [[202 202 202]
  [203 203 203]
  [203 203 203]
  ...
  [137 137 137]
  [137 137 137]
  [137 137 137]]]",paper
9,garbage_classification/paper/paper850.jpg,"[[[232 214 200]
  [232 214 200]
  [232 214 200]
  ...
  [203 186 168]
  [203 186 168]
  [203 186 168]]

 [[232 214 200]
  [232 214 200]
  [232 214 200]
  ...
  [203 186 168]
  [203 186 168]
  [203 186 168]]

 [[232 214 200]
  [232 214 200]
  [232 214 200]
  ...
  [203 186 168]
  [203 186 168]
  [203 186 168]]

 ...

 [[234 217 197]
  [234 217 197]
  [234 217 197]
  ...
  [197 181 165]
  [197 181 165]
  [197 181 165]]

 [[234 217 197]
  [234 217 197]
  [234 217 197]
  ...
  [197 181 165]
  [197 181 165]
  [197 181 165]]

 [[234 217 197]
  [234 217 197]
  [234 217 197]
  ...
  [197 181 165]
  [197 181 165]
  [197 181 165]]]",paper
10,garbage_classification/paper/paper1000.jpg,"[[[254 254 252]
  [245 245 243]
  [250 250 248]
  ...
  [223 219 218]
  [223 219 218]
  [223 219 218]]

 [[254 254 252]
  [250 250 248]
  [255 255 253]
  ...
  [223 219 218]
  [223 219 218]
  [223 219 218]]

 [[255 255 253]
  [255 255 253]
  [255 255 253]
  ...
  [223 219 218]
  [223 219 218]
  [223 219 218]]

 ...

 [[243 243 241]
  [243 243 241]
  [243 243 241]
  ...
  [186 186 184]
  [186 186 184]
  [186 186 184]]

 [[243 243 241]
  [243 243 241]
  [243 243 241]
  ...
  [186 186 184]
  [186 186 184]
  [186 186 184]]

 [[243 243 241]
  [243 243 241]
  [243 243 241]
  ...
  [186 186 184]
  [186 186 184]
  [186 186 184]]]",paper
11,garbage_classification/paper/paper556.jpg,"[[[255 255 251]
  [255 255 251]
  [255 255 251]
  ...
  [193 189 177]
  [193 189 177]
  [193 189 177]]

 [[255 255 251]
  [255 255 251]
  [255 255 251]
  ...
  [193 189 177]
  [193 189 177]
  [193 189 177]]

 [[255 255 251]
  [255 255 251]
  [255 255 251]
  ...
  [193 189 177]
  [193 189 177]
  [193 189 177]]

 ...

 [[206 167 108]
  [221 182 123]
  [227 187 126]
  ...
  [197 195 182]
  [197 195 182]
  [197 195 182]]

 [[146 121  57]
  [181 153  88]
  [209 178 113]
  ...
  [197 195 182]
  [197 195 182]
  [197 195 182]]

 [[120 101  35]
  [134 113  46]
  [167 140  71]
  ...
  [197 195 182]
  [197 195 182]
  [197 195 182]]]",paper
12,garbage_classification/paper/paper392.jpg,"[[[255 247 228]
  [255 242 224]
  [255 246 231]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 250 238]
  [255 245 234]
  [255 253 244]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[248 254 254]
  [241 249 251]
  [243 254 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[246 247 242]
  [237 238 233]
  [217 217 215]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 251]
  [254 254 252]
  [230 230 228]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[251 253 250]
  [246 248 245]
  [235 237 236]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",paper
13,garbage_classification/paper/paper142.jpg,"[[[210 214 213]
  [212 216 215]
  [207 211 210]
  ...
  [169 169 169]
  [169 169 169]
  [168 168 168]]

 [[216 220 219]
  [199 203 202]
  [209 213 212]
  ...
  [170 170 170]
  [169 169 169]
  [168 168 168]]

 [[208 210 209]
  [187 189 188]
  [207 209 208]
  ...
  [171 171 171]
  [170 170 170]
  [169 169 169]]

 ...

 [[214 215 217]
  [214 215 217]
  [215 215 217]
  ...
  [181 182 184]
  [181 182 184]
  [181 182 184]]

 [[213 213 213]
  [213 213 213]
  [213 213 215]
  ...
  [181 182 184]
  [181 182 184]
  [180 181 183]]

 [[211 211 211]
  [211 211 211]
  [211 211 213]
  ...
  [181 182 184]
  [180 181 183]
  [180 181 183]]]",paper
14,garbage_classification/paper/paper73.jpg,"[[[243 178 158]
  [248 177 159]
  [254 175 160]
  ...
  [ 44  46  61]
  [ 57  62  81]
  [ 42  50  71]]

 [[239 169 157]
  [242 165 155]
  [246 161 154]
  ...
  [ 52  51  67]
  [ 50  53  72]
  [ 53  59  81]]

 [[240 173 167]
  [244 173 169]
  [253 173 172]
  ...
  [ 38  37  53]
  [ 48  51  70]
  [ 58  64  86]]

 ...

 [[  0   0  19]
  [  1   0  16]
  [  1   0  12]
  ...
  [236 191 198]
  [232 175 184]
  [248 181 190]]

 [[  0   0  28]
  [ 15  10  42]
  [  0   0  23]
  ...
  [225 179 189]
  [229 172 178]
  [239 173 174]]

 [[  0   0  18]
  [  0   0  16]
  [  6   5  21]
  ...
  [214 171 178]
  [231 177 175]
  [235 173 162]]]",paper
15,garbage_classification/paper/paper756.jpg,"[[[215 198 188]
  [215 198 188]
  [215 198 188]
  ...
  [169 153 128]
  [169 153 128]
  [169 153 128]]

 [[215 198 188]
  [215 198 188]
  [216 199 189]
  ...
  [170 154 129]
  [169 153 128]
  [169 153 128]]

 [[215 198 188]
  [216 199 189]
  [216 199 189]
  ...
  [170 154 129]
  [170 154 129]
  [169 153 128]]

 ...

 [[228 211 193]
  [228 211 193]
  [228 211 193]
  ...
  [188 174 161]
  [188 174 161]
  [188 174 161]]

 [[228 211 193]
  [228 211 193]
  [228 211 193]
  ...
  [188 174 161]
  [188 174 161]
  [188 174 161]]

 [[228 211 193]
  [228 211 193]
  [228 211 193]
  ...
  [188 174 161]
  [188 174 161]
  [188 174 161]]]",paper
16,garbage_classification/paper/paper866.jpg,"[[[254 254 252]
  [254 254 252]
  [254 254 252]
  ...
  [198 194 182]
  [198 194 182]
  [198 194 182]]

 [[254 254 252]
  [254 254 252]
  [254 254 252]
  ...
  [198 194 182]
  [198 194 182]
  [198 194 182]]

 [[254 254 252]
  [254 254 252]
  [254 254 252]
  ...
  [198 194 182]
  [198 194 182]
  [198 194 182]]

 ...

 [[221 217 205]
  [221 217 205]
  [221 217 205]
  ...
  [195 193 180]
  [195 193 180]
  [195 193 180]]

 [[221 217 205]
  [221 217 205]
  [221 217 205]
  ...
  [195 193 180]
  [195 193 180]
  [195 193 180]]

 [[221 217 205]
  [221 217 205]
  [221 217 205]
  ...
  [195 193 180]
  [195 193 180]
  [195 193 180]]]",paper
17,garbage_classification/paper/paper1048.jpg,"[[[244 218 193]
  [244 218 193]
  [244 218 193]
  ...
  [199 172 142]
  [199 172 142]
  [199 172 142]]

 [[244 218 193]
  [244 218 193]
  [244 218 193]
  ...
  [200 173 143]
  [200 173 143]
  [200 173 143]]

 [[244 218 193]
  [244 218 193]
  [244 218 193]
  ...
  [201 174 144]
  [201 174 144]
  [201 174 144]]

 ...

 [[247 220 193]
  [247 220 193]
  [247 220 193]
  ...
  [204 180 156]
  [204 180 156]
  [204 180 156]]

 [[247 220 193]
  [247 220 193]
  [247 220 193]
  ...
  [204 180 156]
  [203 179 155]
  [203 179 155]]

 [[247 220 193]
  [247 220 193]
  [247 220 193]
  ...
  [204 180 156]
  [203 179 155]
  [202 178 154]]]",paper
18,garbage_classification/paper/paper569.jpg,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [198 196 183]
  [198 196 183]
  [197 195 182]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [198 196 183]
  [197 195 182]
  [197 195 182]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [198 196 183]
  [197 195 182]
  [197 195 182]]

 ...

 [[215 211 200]
  [215 211 200]
  [214 210 199]
  ...
  [164 160 149]
  [164 160 149]
  [164 160 149]]

 [[215 211 200]
  [215 211 200]
  [214 210 199]
  ...
  [164 160 149]
  [164 160 149]
  [164 160 149]]

 [[215 211 200]
  [215 211 200]
  [214 210 199]
  ...
  [164 160 149]
  [164 160 149]
  [164 160 149]]]",paper
19,garbage_classification/paper/paper759.jpg,"[[[255 255 253]
  [255 255 253]
  [255 255 253]
  ...
  [200 191 182]
  [199 190 181]
  [198 189 180]]

 [[255 255 253]
  [255 255 253]
  [255 255 253]
  ...
  [200 191 182]
  [199 190 181]
  [198 189 180]]

 [[255 255 253]
  [255 255 253]
  [255 255 253]
  ...
  [200 191 182]
  [199 190 181]
  [198 189 180]]

 ...

 [[124 112  96]
  [113 101  85]
  [ 98  87  69]
  ...
  [176 172 161]
  [176 172 161]
  [176 172 161]]

 [[121 109  93]
  [114 102  86]
  [100  88  72]
  ...
  [176 172 161]
  [176 172 161]
  [176 172 161]]

 [[119 107  91]
  [114 102  86]
  [101  89  73]
  ...
  [176 172 161]
  [176 172 161]
  [176 172 161]]]",paper
20,garbage_classification/paper/paper234.jpg,"[[[203 172 143]
  [201 170 141]
  [199 168 139]
  ...
  [131 131 131]
  [189 189 189]
  [154 154 154]]

 [[203 172 143]
  [204 173 144]
  [207 176 147]
  ...
  [131 131 131]
  [151 151 151]
  [180 180 180]]

 [[212 182 154]
  [215 185 157]
  [218 188 160]
  ...
  [180 180 180]
  [197 197 197]
  [143 143 143]]

 ...

 [[198 198 198]
  [202 202 202]
  [209 209 209]
  ...
  [195 172 156]
  [197 174 158]
  [199 176 160]]

 [[196 196 196]
  [193 193 193]
  [200 200 200]
  ...
  [194 171 155]
  [195 172 156]
  [196 173 157]]

 [[168 168 168]
  [161 161 161]
  [178 178 178]
  ...
  [193 170 154]
  [192 169 153]
  [192 169 153]]]",paper
21,garbage_classification/paper/paper145.jpg,"[[[234 245 237]
  [241 251 243]
  [249 254 248]
  ...
  [250 235 242]
  [255 250 255]
  [255 250 255]]

 [[234 255 251]
  [235 255 251]
  [240 255 251]
  ...
  [246 252 252]
  [247 253 253]
  [247 253 253]]

 [[229 255 245]
  [218 249 233]
  [224 251 236]
  ...
  [156 173 167]
  [239 255 250]
  [239 255 250]]

 ...

 [[217 217 217]
  [210 210 210]
  [205 205 205]
  ...
  [254 254 254]
  [255 255 255]
  [255 255 255]]

 [[ 58  58  58]
  [ 93  93  93]
  [ 27  27  27]
  ...
  [255 255 255]
  [250 250 250]
  [250 250 250]]

 [[245 245 245]
  [231 231 231]
  [227 227 227]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",paper
22,garbage_classification/paper/paper355.jpg,"[[[155 130 108]
  [155 130 108]
  [156 131 109]
  ...
  [114  95  81]
  [114  95  81]
  [114  95  81]]

 [[155 130 108]
  [156 131 109]
  [157 132 110]
  ...
  [114  95  81]
  [114  95  81]
  [114  95  81]]

 [[157 132 112]
  [158 133 113]
  [159 134 114]
  ...
  [113  94  80]
  [113  94  80]
  [113  94  80]]

 ...

 [[183 168 165]
  [204 189 186]
  [186 171 168]
  ...
  [135 117 107]
  [156 136 125]
  [161 139 128]]

 [[203 188 185]
  [128 113 110]
  [203 188 185]
  ...
  [124 106  96]
  [146 126 115]
  [154 132 121]]

 [[177 162 159]
  [116 101  98]
  [188 173 170]
  ...
  [132 114 104]
  [153 133 122]
  [159 137 126]]]",paper
23,garbage_classification/paper/paper589.jpg,"[[[239 243 254]
  [239 243 254]
  [239 243 254]
  ...
  [168 167 162]
  [167 166 161]
  [167 166 161]]

 [[239 243 254]
  [239 243 254]
  [238 242 253]
  ...
  [168 167 162]
  [167 166 161]
  [167 166 161]]

 [[239 243 254]
  [238 242 253]
  [238 242 253]
  ...
  [168 167 162]
  [168 167 162]
  [167 166 161]]

 ...

 [[219 220 215]
  [219 220 215]
  [219 220 215]
  ...
  [150 150 148]
  [150 150 148]
  [150 150 148]]

 [[219 220 215]
  [219 220 215]
  [219 220 215]
  ...
  [150 150 148]
  [150 150 148]
  [150 150 148]]

 [[219 220 215]
  [219 220 215]
  [219 220 215]
  ...
  [150 150 148]
  [150 150 148]
  [150 150 148]]]",paper
24,garbage_classification/paper/paper744.jpg,"[[[243 243 243]
  [244 244 244]
  [244 244 244]
  ...
  [219 219 219]
  [219 219 219]
  [219 219 219]]

 [[243 243 243]
  [243 243 243]
  [244 244 244]
  ...
  [219 219 219]
  [219 219 219]
  [219 219 219]]

 [[243 243 243]
  [243 243 243]
  [244 244 244]
  ...
  [219 219 219]
  [219 219 219]
  [219 219 219]]

 ...

 [[197 187 175]
  [197 187 175]
  [196 186 174]
  ...
  [191 187 184]
  [191 187 184]
  [190 186 183]]

 [[198 188 176]
  [198 188 176]
  [197 187 175]
  ...
  [191 187 184]
  [190 186 183]
  [190 186 183]]

 [[198 188 176]
  [198 188 176]
  [197 187 175]
  ...
  [190 186 183]
  [190 186 183]
  [190 186 183]]]",paper
25,garbage_classification/paper/paper1047.jpg,"[[[217 197 172]
  [217 197 172]
  [217 197 172]
  ...
  [193 175 151]
  [193 175 151]
  [193 175 151]]

 [[217 197 172]
  [217 197 172]
  [218 198 173]
  ...
  [193 175 151]
  [193 175 151]
  [193 175 151]]

 [[217 197 172]
  [218 198 173]
  [218 198 173]
  ...
  [193 175 151]
  [193 175 151]
  [193 175 151]]

 ...

 [[212 197 168]
  [212 197 168]
  [212 197 168]
  ...
  [187 175 161]
  [187 175 161]
  [187 175 161]]

 [[212 197 168]
  [212 197 168]
  [212 197 168]
  ...
  [187 175 161]
  [187 175 161]
  [187 175 161]]

 [[212 197 168]
  [212 197 168]
  [212 197 168]
  ...
  [187 175 161]
  [187 175 161]
  [187 175 161]]]",paper
26,garbage_classification/paper/paper452.jpg,"[[[178 156 142]
  [175 152 138]
  [185 159 146]
  ...
  [ 54  50  47]
  [ 54  50  47]
  [ 54  50  47]]

 [[172 144 132]
  [180 150 139]
  [186 156 145]
  ...
  [ 55  51  48]
  [ 55  51  48]
  [ 55  51  48]]

 [[171 137 128]
  [181 147 138]
  [177 143 134]
  ...
  [ 56  52  49]
  [ 56  52  49]
  [ 55  51  48]]

 ...

 [[255 255 255]
  [250 250 250]
  [254 254 254]
  ...
  [ 23  20  13]
  [ 51  48  41]
  [ 44  41  34]]

 [[255 255 255]
  [255 255 255]
  [250 250 250]
  ...
  [ 51  46  40]
  [ 41  36  30]
  [ 51  46  40]]

 [[254 254 254]
  [255 255 255]
  [244 244 244]
  ...
  [ 45  40  34]
  [ 59  54  48]
  [ 60  55  49]]]",paper
27,garbage_classification/paper/paper948.jpg,"[[[231 229 216]
  [231 229 216]
  [231 229 216]
  ...
  [172 167 161]
  [172 167 161]
  [172 167 161]]

 [[231 229 216]
  [231 229 216]
  [231 229 216]
  ...
  [172 167 161]
  [172 167 161]
  [172 167 161]]

 [[231 229 216]
  [231 229 216]
  [231 229 216]
  ...
  [172 167 161]
  [172 167 161]
  [172 167 161]]

 ...

 [[255 255 250]
  [255 254 249]
  [255 254 249]
  ...
  [187 183 172]
  [187 183 172]
  [187 183 172]]

 [[255 255 250]
  [255 255 250]
  [255 254 249]
  ...
  [187 183 172]
  [187 183 172]
  [187 183 172]]

 [[255 255 250]
  [255 255 250]
  [255 255 250]
  ...
  [187 183 172]
  [187 183 172]
  [187 183 172]]]",paper
28,garbage_classification/paper/paper932.jpg,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [191 192 187]
  [191 192 187]
  [191 192 187]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [191 192 187]
  [191 192 187]
  [191 192 187]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [191 192 187]
  [191 192 187]
  [191 192 187]]

 ...

 [[127 103 116]
  [132 108 122]
  [133 110 126]
  ...
  [177 175 163]
  [177 175 163]
  [176 174 162]]

 [[126 103 113]
  [128 106 118]
  [129 109 121]
  ...
  [177 175 163]
  [176 174 162]
  [176 174 162]]

 [[123 102 111]
  [125 103 115]
  [124 104 115]
  ...
  [176 174 162]
  [176 174 162]
  [176 174 162]]]",paper
29,garbage_classification/paper/paper1036.jpg,"[[[229 229 231]
  [229 229 231]
  [230 230 232]
  ...
  [185 183 184]
  [184 182 183]
  [183 181 182]]

 [[229 229 231]
  [229 229 231]
  [230 230 232]
  ...
  [185 183 184]
  [184 182 183]
  [183 181 182]]

 [[229 229 231]
  [229 229 231]
  [230 230 232]
  ...
  [186 184 185]
  [184 182 183]
  [184 182 183]]

 ...

 [[193 192 190]
  [193 192 190]
  [193 192 190]
  ...
  [145 144 142]
  [145 144 142]
  [145 144 142]]

 [[193 192 190]
  [193 192 190]
  [193 192 190]
  ...
  [145 144 142]
  [145 144 142]
  [145 144 142]]

 [[193 192 190]
  [193 192 190]
  [193 192 190]
  ...
  [145 144 142]
  [145 144 142]
  [145 144 142]]]",paper
